SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,OPPPONENTS
22012,977,21201071,"MAR 28, 2013",LAL @ MIL,L,36,6,17,0.353,0,3,0,18,20,0.9,0,2,2,3,0,0,6,2,30,-16,1,MIL
22012,977,21201066,"MAR 27, 2013",LAL @ MIN,W,38,12,21,0.571,3,7,0.429,4,6,0.667,0,3,3,7,1,1,6,4,31,2,1,MIN
22012,977,21201053,"MAR 25, 2013",LAL @ GSW,L,42,11,27,0.407,2,10,0.2,12,16,0.75,1,7,8,3,0,0,0,1,36,-1,1,GSW
22012,977,21201032,"MAR 22, 2013",LAL vs. WAS,L,38,8,18,0.444,1,2,0.5,4,7,0.571,1,3,4,11,2,0,6,3,21,1,1,WAS
22012,977,21200971,"MAR 15, 2013",LAL @ IND,W,12,0,4,0,0,1,0,0,0,0,0,1,1,2,0,0,1,1,0,-3,1,IND
22012,977,21200960,"MAR 13, 2013",LAL @ ATL,L,38,11,33,0.333,2,8,0.25,7,8,0.875,1,6,7,5,2,0,5,1,31,-3,1,ATL
22012,977,21200949,"MAR 12, 2013",LAL @ ORL,W,36,4,14,0.286,2,6,0.333,1,2,0.5,1,6,7,8,2,0,3,1,11,0,1,ORL
22012,977,21200935,"MAR 10, 2013",LAL vs. CHI,W,40,7,16,0.438,1,4,0.25,4,6,0.667,1,6,7,9,2,0,2,2,19,16,1,CHI
22012,977,21200925,"MAR 08, 2013",LAL vs. TOR,W,44,11,22,0.5,5,10,0.5,14,16,0.875,1,5,6,12,2,0,9,0,41,0,1,TOR
22012,977,21200906,"MAR 06, 2013",LAL @ NOH,W,42,14,21,0.667,3,7,0.429,11,14,0.786,0,7,7,12,0,1,6,0,42,16,1,NOP
22012,977,21200897,"MAR 05, 2013",LAL @ OKC,L,39,8,19,0.421,3,7,0.429,11,12,0.917,1,2,3,2,0,0,2,3,30,-11,1,OKC
22012,977,21200888,"MAR 03, 2013",LAL vs. ATL,W,39,13,27,0.481,2,5,0.4,6,8,0.75,1,5,6,4,2,0,5,1,34,6,1,ATL
22012,977,21200863,"FEB 28, 2013",LAL vs. MIN,W,32,13,22,0.591,4,8,0.5,3,7,0.429,1,4,5,5,2,0,3,1,33,17,1,MIN
22012,977,21200841,"FEB 25, 2013",LAL @ DEN,L,39,12,23,0.522,0,1,0,5,6,0.833,0,6,6,9,0,0,4,3,29,-1,1,DEN
22012,977,21200830,"FEB 24, 2013",LAL @ DAL,W,38,13,21,0.619,4,5,0.8,8,10,0.8,1,11,12,7,0,1,5,2,38,7,1,DAL
22012,977,21200821,"FEB 22, 2013",LAL vs. POR,W,36,15,23,0.652,1,3,0.333,9,9,1,2,5,7,4,2,0,5,1,40,2,1,POR
22012,977,21200807,"FEB 20, 2013",LAL vs. BOS,W,33,5,15,0.333,0,4,0,6,7,0.857,1,3,4,7,0,0,3,5,16,11,1,BOS
22012,977,21200788,"FEB 14, 2013",LAL vs. LAC,L,39,7,13,0.538,0,0,0,6,6,1,3,2,5,11,0,0,6,2,20,-35,0,LAC
22012,977,21200773,"FEB 12, 2013",LAL vs. PHX,W,36,1,8,0.125,0,4,0,2,2,1,1,4,5,9,1,1,8,1,4,-2,1,PHX
22012,977,21200753,"FEB 10, 2013",LAL @ MIA,L,37,11,19,0.579,0,0,0,6,8,0.75,1,5,6,9,1,0,4,2,28,-14,1,MIA
22012,977,21200736,"FEB 08, 2013",LAL @ CHA,W,38,6,15,0.4,0,2,0,8,8,1,0,7,7,8,0,1,3,0,20,-2,1,CHA
22012,977,21200733,"FEB 07, 2013",LAL @ BOS,L,30,9,15,0.6,0,1,0,9,9,1,3,4,7,0,0,0,4,2,27,-20,1,BOS
22012,977,21200716,"FEB 05, 2013",LAL @ BKN,W,37,9,24,0.375,0,2,0,3,3,1,1,7,8,4,4,1,5,1,21,5,1,BKN
22012,977,21200706,"FEB 03, 2013",LAL @ DET,W,37,8,20,0.4,0,3,0,2,3,0.667,0,3,3,5,2,0,3,0,18,1,1,DET
22012,977,21200695,"FEB 01, 2013",LAL @ MIN,W,39,4,13,0.308,1,4,0.25,8,10,0.8,2,10,12,8,0,0,4,2,17,-3,1,MIN
22012,977,21200681,"JAN 30, 2013",LAL @ PHX,L,39,7,17,0.412,0,3,0,3,4,0.75,0,5,5,9,2,0,6,0,17,-8,1,PHX
22012,977,21200669,"JAN 29, 2013",LAL vs. NOH,W,34,5,12,0.417,0,4,0,4,4,1,3,5,8,11,0,0,2,1,14,-5,1,NOP
22012,977,21200653,"JAN 27, 2013",LAL vs. OKC,W,39,8,12,0.667,0,0,0,5,6,0.833,0,9,9,14,1,1,3,1,21,11,0,OKC
22012,977,21200641,"JAN 25, 2013",LAL vs. UTA,W,35,7,10,0.7,0,0,0,0,0,0,0,9,9,14,3,1,3,0,14,15,1,UTA
22012,977,21200621,"JAN 23, 2013",LAL @ MEM,L,39,11,23,0.478,0,1,0,7,8,0.875,0,3,3,3,1,0,2,1,29,-13,1,MEM
22012,977,21200612,"JAN 21, 2013",LAL @ CHI,L,42,7,22,0.318,0,6,0,2,3,0.667,0,4,4,5,0,0,3,2,16,-12,1,CHI
22012,977,21200601,"JAN 20, 2013",LAL @ TOR,L,43,10,32,0.313,3,12,0.25,3,3,1,0,4,4,5,2,1,6,1,26,0,1,TOR
22012,977,21200583,"JAN 17, 2013",LAL vs. MIA,L,43,8,25,0.32,4,9,0.444,2,2,1,1,3,4,1,1,0,6,4,22,-9,1,MIA
22012,977,21200569,"JAN 15, 2013",LAL vs. MIL,W,37,12,19,0.632,3,5,0.6,4,4,1,1,1,2,6,1,0,1,2,31,23,0,MIL
22012,977,21200555,"JAN 13, 2013",LAL vs. CLE,W,28,9,14,0.643,3,4,0.75,2,4,0.5,0,2,2,6,0,0,4,4,23,19,1,CLE
22012,977,21200539,"JAN 11, 2013",LAL vs. OKC,L,35,8,23,0.348,2,8,0.25,10,13,0.769,0,4,4,3,2,0,1,2,28,-24,0,OKC
22012,977,21200522,"JAN 09, 2013",LAL @ SAS,L,39,10,24,0.417,3,8,0.375,4,7,0.571,0,4,4,5,0,0,1,3,27,-4,1,SAS
22012,977,21200514,"JAN 08, 2013",LAL @ HOU,L,41,8,22,0.364,2,8,0.25,2,2,1,2,3,5,7,3,0,5,3,20,-15,1,HOU
22012,977,21200503,"JAN 06, 2013",LAL vs. DEN,L,42,11,26,0.423,3,8,0.375,4,4,1,1,4,5,7,0,0,2,2,29,-12,1,DEN
22012,977,21200488,"JAN 04, 2013",LAL @ LAC,L,44,15,25,0.6,1,6,0.167,7,8,0.875,0,0,0,3,5,0,1,3,38,6,1,LAC
22012,977,21200463,"JAN 01, 2013",LAL vs. PHI,L,42,14,29,0.483,1,6,0.167,7,10,0.7,4,2,6,0,1,0,3,2,36,-4,1,PHI
22012,977,21200435,"DEC 28, 2012",LAL vs. POR,W,31,9,18,0.5,1,6,0.167,8,11,0.727,2,3,5,4,2,0,1,3,27,21,1,POR
22012,977,21200419,"DEC 26, 2012",LAL @ DEN,L,44,13,24,0.542,5,9,0.556,9,11,0.818,0,4,4,6,0,2,2,2,40,-7,1,DEN
22012,977,21200406,"DEC 25, 2012",LAL vs. NYK,W,44,14,24,0.583,1,5,0.2,5,7,0.714,1,4,5,1,0,1,1,2,34,11,1,NYK
22012,977,21200398,"DEC 22, 2012",LAL @ GSW,W,44,16,41,0.39,2,8,0.25,0,1,0,3,7,10,5,1,0,3,5,34,0,1,GSW
22012,977,21200364,"DEC 18, 2012",LAL vs. CHA,W,43,11,24,0.458,2,5,0.4,6,7,0.857,0,6,6,7,1,1,2,1,30,-7,1,CHA
